subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Adults,7/6/2018,8/1/2017,8/5/2017,Ipsos,B+,1601,a,.0797173,0,38,29.7,45.11574,36.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50062,79406,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/2/2017,8/6/2017,Ipsos,B+,1588,a,.0790072,0,38.7,28.7,45.81574,35.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50061,79405,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/3/2017,8/7/2017,Ipsos,B+,1605,a,.0798028,0,38.8,29.2,45.91574,35.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50060,79404,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/3/2017,8/6/2017,CNN/SSRS,A-,1018,a,1.607739,0,51,40,48.32698,38.31405,"","",http://i2.cdn.turner.com/cnn/2017/images/08/10/poll.toplines.pdf,50056,78693,8/10/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/4/2017,8/8/2017,Ipsos,B+,1674,a,.0831779,0,40.8,29.3,47.91574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50076,79403,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/5/2017,8/9/2017,Ipsos,B+,1707,a,.0847659,0,40.5,29.2,47.61574,35.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50075,79402,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/6/2017,8/10/2017,Ipsos,B+,1732,a,.085967,0,39.2,29.4,46.31574,36.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50074,79401,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/7/2017,8/11/2017,Ipsos,B+,1768,a,.0877095,0,38.8,29.8,45.91574,36.50875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50089,79400,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/8/2017,8/12/2017,Ipsos,B+,1690,a,.0837847,0,37.8,29.6,44.91574,36.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50088,79399,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/9/2017,8/13/2017,Ipsos,B+,1631,a,.0808064,0,37.1,29.1,44.21574,35.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50087,79398,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/10/2017,8/14/2017,Ipsos,B+,1606,a,.0795157,0,37.9,28.6,45.01574,35.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50086,79397,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/11/2017,8/15/2017,Ipsos,B+,1590,a,.0786694,0,37.6,28.7,44.71574,35.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50105,79396,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/12/2017,8/16/2017,Ipsos,B+,2020,a,.0998748,0,38.4,27.8,45.51574,34.50875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50104,79395,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/13/2017,8/17/2017,Ipsos,B+,2342,a,.115752,0,38.6,28.3,45.71574,35.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50103,79394,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/14/2017,8/18/2017,Ipsos,B+,2753,a,.1360677,0,37.6,28.6,44.71574,35.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50120,79393,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/15/2017,8/19/2017,Ipsos,B+,3143,a,.1553875,0,37.6,29,44.71574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50119,79392,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/16/2017,8/20/2017,Ipsos,B+,3447,a,.1705628,0,37.9,29,45.01574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50118,79391,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/17/2017,8/21/2017,Ipsos,B+,3032,a,.1502932,0,37,29.3,44.11574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50117,79390,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/18/2017,8/22/2017,Ipsos,B+,2749,a,.1365826,0,37.1,29.1,44.21574,35.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50136,79389,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/19/2017,8/23/2017,Ipsos,B+,2419,a,.1205329,0,37.4,29.3,44.51574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50135,79388,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/20/2017,8/24/2017,Ipsos,B+,2086,a,.1043113,0,37.2,29.3,44.31574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50134,79387,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/21/2017,8/25/2017,Ipsos,B+,1918,a,.0962994,0,38.9,29.5,46.01574,36.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50148,79386,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/22/2017,8/26/2017,Ipsos,B+,1596,a,.0804867,0,39.6,29.9,46.71574,36.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50147,79385,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/23/2017,8/27/2017,Ipsos,B+,1261,a,.0638758,0,39.8,29.3,46.91574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50146,79384,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/24/2017,8/28/2017,Ipsos,B+,1795,a,.0912999,0,37.7,30.4,44.81574,37.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50145,79383,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/25/2017,8/29/2017,Ipsos,B+,1768,a,.0903232,0,37,29.6,44.11574,36.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50162,79382,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/26/2017,8/30/2017,Ipsos,B+,1667,a,.0855587,0,35.6,30.4,42.71574,37.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50161,79381,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/27/2017,8/31/2017,Ipsos,B+,2060,a,.1062261,0,35.8,31.5,42.91574,38.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50160,79380,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/28/2017,9/1/2017,Ipsos,B+,2383,a,.123523,0,36.8,31.3,43.91574,38.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50174,79379,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/29/2017,9/2/2017,Ipsos,B+,1832,a,.0955428,0,37.7,32.1,44.81574,38.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50173,79378,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/30/2017,9/3/2017,Ipsos,B+,1734,a,.09101,0,38.3,33.5,45.41574,40.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50172,79377,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,8/31/2017,9/4/2017,Ipsos,B+,1746,a,.0922443,0,37.9,33,45.01574,39.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50171,79376,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/1/2017,9/5/2017,Ipsos,B+,1674,a,.0890445,0,37.6,31.6,44.71574,38.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50185,79375,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/2/2017,9/6/2017,Ipsos,B+,1686,a,.090222,0,35.7,32.4,42.81574,39.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50184,79374,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/3/2017,9/7/2017,Ipsos,B+,1658,a,.0891569,0,36.3,31.7,43.41574,38.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50183,79373,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/4/2017,9/8/2017,Ipsos,B+,1723,a,.0929681,0,36.8,31.4,43.91574,38.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50197,79372,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/5/2017,9/9/2017,Ipsos,B+,1696,a,.0916658,0,36.4,31.1,43.51574,37.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50196,79371,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/6/2017,9/10/2017,Ipsos,B+,1673,a,.0903952,0,36.8,29.6,43.91574,36.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50195,79370,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/7/2017,9/11/2017,Ipsos,B+,1679,a,.090584,0,38.6,29,45.71574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50194,79369,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/8/2017,9/12/2017,Ipsos,B+,1671,a,.0899371,0,39.4,28.5,46.51574,35.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50210,79368,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/9/2017,9/13/2017,Ipsos,B+,1703,a,.0913836,0,38.8,28.2,45.91574,34.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50209,79367,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/10/2017,9/14/2017,Ipsos,B+,1699,a,.0908663,0,38.7,28.4,45.81574,35.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50208,79366,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/11/2017,9/15/2017,Ipsos,B+,1615,a,.0860794,0,38.8,29.2,45.91574,35.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50224,79365,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/12/2017,9/16/2017,Ipsos,B+,1610,a,.0855119,0,37.2,29.3,44.31574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50223,79364,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/13/2017,9/17/2017,Ipsos,B+,1585,a,.0838966,0,37.1,29,44.21574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50222,79363,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/14/2017,9/18/2017,NBC News/Wall Street Journal,A-,900,a,1.484638,0,48,42,47.23487,40.5825,"","",http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/HUB_NBCPolitics_Front/17363%20NBCWSJ%20September%20Poll%20(9-21-17%20Release).pdf,50231,78934,9/21/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/14/2017,9/18/2017,Ipsos,B+,1560,a,.0823097,0,38.1,28.3,45.21574,35.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50221,79362,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/15/2017,9/19/2017,Ipsos,B+,1557,a,.0818815,0,37.7,30.1,44.81574,36.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50239,79361,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/16/2017,9/20/2017,Ipsos,B+,1626,a,.0852194,0,38.2,30,45.31574,36.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50238,79360,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/17/2017,9/20/2017,CNN/SSRS,A-,1053,a,1.495258,0,50,41,47.32698,39.31405,"","",http://i2.cdn.turner.com/cnn/2017/images/09/24/poll.-.parties.and.2018.pdf.pdf,50233,78951,9/24/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/17/2017,9/21/2017,Ipsos,B+,1625,a,.0848788,0,39.2,29.6,46.31574,36.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50237,79359,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/18/2017,9/22/2017,Ipsos,B+,1660,a,.0863984,0,39.7,28.5,46.81574,35.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50255,79358,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/19/2017,9/23/2017,Ipsos,B+,1667,a,.0864279,0,39.4,28.6,46.51574,35.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50254,79357,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/20/2017,9/24/2017,Ipsos,B+,1643,a,.0848551,0,38.3,29.1,45.41574,35.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50253,79356,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/21/2017,9/25/2017,Ipsos,B+,1663,a,.0855592,0,36.5,30.3,43.61574,37.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50252,79355,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/22/2017,9/26/2017,Ipsos,B+,3439,a,.1762587,0,36.9,29.7,44.01574,36.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50268,79354,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/23/2017,9/27/2017,Ipsos,B+,3443,a,.1761448,0,36.1,30,43.21574,36.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50267,79353,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/24/2017,9/28/2017,Ipsos,B+,3456,a,.17683,0,36.1,30.4,43.21574,37.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50266,79352,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/25/2017,9/29/2017,Ipsos,B+,3568,a,.182927,0,36.4,29.9,43.51574,36.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50280,79351,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/26/2017,9/30/2017,Ipsos,B+,3551,a,.182757,0,36.8,29.8,43.91574,36.50875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50279,79350,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/27/2017,10/1/2017,Ipsos,B+,1728,a,.0894353,0,36.2,30.6,43.31574,37.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50278,79349,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/28/2017,10/2/2017,Ipsos,B+,1706,a,.0887629,0,36.8,30.1,43.91574,36.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50277,79348,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/29/2017,10/3/2017,Ipsos,B+,1661,a,.0868502,0,37.7,30,44.81574,36.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50296,79347,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,9/30/2017,10/4/2017,Ipsos,B+,1555,a,.0816821,0,37.6,30,44.71574,36.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50295,79346,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/1/2017,10/5/2017,Ipsos,B+,1516,a,.0799731,0,38.4,29,45.51574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50294,79345,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/2/2017,10/6/2017,Ipsos,B+,1547,a,.0819336,0,38.1,28.6,45.21574,35.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50327,79344,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/3/2017,10/7/2017,Ipsos,B+,1507,a,.0801232,0,36.9,28.9,44.01574,35.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50343,79343,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/4/2017,10/8/2017,Ipsos,B+,1523,a,.0812751,0,36.9,29,44.01574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50342,79342,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/5/2017,10/9/2017,Ipsos,B+,1529,a,.0818862,0,36.6,29.2,43.71574,35.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50341,79341,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/6/2017,10/10/2017,Ipsos,B+,1585,a,.0851753,0,36.4,29.3,43.51574,36.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50326,79340,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/7/2017,10/11/2017,Ipsos,B+,1588,a,.0856208,0,36.3,29.1,43.41574,35.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50325,79339,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/8/2017,10/12/2017,Ipsos,B+,1611,a,.0871468,0,37.2,28.7,44.31574,35.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50324,79338,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/9/2017,10/13/2017,Ipsos,B+,1611,a,.0874162,0,35.7,28.6,42.81574,35.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50340,79337,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/10/2017,10/14/2017,Ipsos,B+,1581,a,.0860397,0,36.4,29.4,43.51574,36.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50339,79336,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/11/2017,10/15/2017,Ipsos,B+,1575,a,.0859478,0,36.5,29.1,43.61574,35.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50338,79335,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/12/2017,10/16/2017,Ipsos,B+,1637,a,.0895605,0,36.9,30.6,44.01574,37.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50337,79334,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/12/2017,10/15/2017,CNN/SSRS,A-,1010,a,1.376995,0,51,37,48.32698,35.31405,"","","http://i2.cdn.turner.com/cnn/2017/images/10/17/rel10b.-.trump,.guns.pdf",50336,79084,10/17/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/13/2017,10/17/2017,Ipsos,B+,1678,a,.0920237,0,37.2,30.9,44.31574,37.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50359,79333,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/14/2017,10/18/2017,Ipsos,B+,1693,a,.092982,0,38.1,30.9,45.21574,37.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50358,79332,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/15/2017,10/19/2017,Ipsos,B+,1701,a,.0934681,0,37.7,29.4,44.81574,36.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50357,79331,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/16/2017,10/20/2017,Ipsos,B+,1969,a,.1081427,0,36.4,29.2,43.51574,35.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50373,79330,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/17/2017,10/21/2017,Ipsos,B+,2109,a,.1156967,0,36,29.2,43.11574,35.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50372,79329,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/18/2017,10/22/2017,Ipsos,B+,2343,a,.128327,0,36.1,28.5,43.21574,35.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50371,79328,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/19/2017,10/23/2017,Ipsos,B+,2318,a,.1268624,0,36.7,27.6,43.81574,34.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50370,79327,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/20/2017,10/24/2017,Ipsos,B+,2355,a,.1289013,0,36.6,27.6,43.71574,34.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50387,79326,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/21/2017,10/25/2017,Ipsos,B+,2071,a,.113476,0,37.6,27.7,44.71574,34.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50386,79325,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/18/2017,10/30/2017,Public Religion Research Institute,"",2109,a,2.20732,0,43,35,43.88268,35.18183,"","",https://www.prri.org/wp-content/uploads/2017/12/2017-AVS-Topline-FINAL.pdf,50632,79912,12/5/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/22/2017,10/26/2017,Ipsos,B+,1870,a,.1026352,0,37.8,26.8,44.91574,33.50875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50385,79324,10/27/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/23/2017,10/27/2017,Ipsos,B+,1750,a,.0962474,0,37.2,28.6,44.31574,35.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50401,79508,10/31/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/24/2017,10/28/2017,Ipsos,B+,1735,a,.0956397,0,35.6,30.3,42.71574,37.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50400,79507,10/31/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/25/2017,10/29/2017,Ipsos,B+,1743,a,.0963217,0,36.5,29.9,43.61574,36.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50399,79506,10/31/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/26/2017,10/30/2017,Ipsos,B+,1768,a,.097972,0,37.7,29.6,44.81574,36.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50398,79505,10/31/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/27/2017,10/31/2017,Ipsos,B+,1802,a,.1001597,0,39.9,30.9,47.01574,37.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50415,79544,11/6/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/28/2017,11/1/2017,Ipsos,B+,1593,a,.088837,0,40.9,30,48.01574,36.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50414,79543,11/6/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/29/2017,11/2/2017,Ipsos,B+,1910,a,.1068788,0,43.2,28.5,50.31574,35.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50413,79542,11/6/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/30/2017,11/3/2017,Ipsos,B+,1858,a,.1043695,0,42.1,28.9,49.21574,35.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50429,79564,11/7/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,10/31/2017,11/4/2017,Ipsos,B+,1818,a,.1025464,0,40.7,28.3,47.81574,35.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50428,79563,11/7/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/1/2017,11/5/2017,Ipsos,B+,1769,a,.1002201,0,38.9,27.7,46.01574,34.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50427,79562,11/7/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/2/2017,11/5/2017,CNN/SSRS,A-,1021,a,1.438974,0,50,38,47.32698,36.31405,"","",http://cdn.cnn.com/cnn/2017/images/11/07/rel11b_-_2018_and_taxes.pdf,50422,79570,11/8/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/2/2017,11/6/2017,Ipsos,B+,1860,a,.10585,0,38.9,29,46.01574,35.70875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50426,79561,11/7/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/3/2017,11/7/2017,Ipsos,B+,1573,a,.0899125,0,38.4,29.6,45.51574,36.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50436,79584,11/9/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/4/2017,11/8/2017,Ipsos,B+,1608,a,.0922696,0,38.6,30.7,45.71574,37.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50435,79583,11/9/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/5/2017,11/9/2017,Ipsos,B+,1644,a,.0946572,0,38.4,30.1,45.51574,36.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50452,79615,11/14/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/6/2017,11/10/2017,Ipsos,B+,1648,a,.095173,0,39.5,29.5,46.61574,36.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50451,79614,11/14/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/7/2017,11/11/2017,Ipsos,B+,1580,a,.0914722,0,39.7,28.7,46.81574,35.40875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50450,79613,11/14/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/8/2017,11/12/2017,Ipsos,B+,1533,a,.0889354,0,38.4,28.8,45.51574,35.50875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50449,79612,11/14/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/9/2017,11/13/2017,Ipsos,B+,1536,a,.0892481,0,38.2,28.5,45.31574,35.20875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50448,79611,11/14/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/10/2017,11/14/2017,Ipsos,B+,1525,a,.0887056,0,38.2,30.6,45.31574,37.30875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50482,79673,11/20/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/11/2017,11/15/2017,Ipsos,B+,1565,a,.0910873,0,38.1,30.9,45.21574,37.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50481,79672,11/20/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/12/2017,11/16/2017,Ipsos,B+,1629,a,.0948448,0,37.6,30.9,44.71574,37.60875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50480,79671,11/20/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/13/2017,11/17/2017,Ipsos,B+,1666,a,.0970285,0,38.3,30.4,45.41574,37.10875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50498,79705,11/22/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/14/2017,11/18/2017,Ipsos,B+,1601,a,.0932786,0,37.7,30.1,44.81574,36.80875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50497,79704,11/22/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/15/2017,11/19/2017,Ipsos,B+,1588,a,.0925559,0,38.1,28.3,45.21574,35.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50496,79703,11/22/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/16/2017,11/20/2017,Ipsos,B+,1562,a,.0910738,0,38.1,28.2,45.21574,34.90875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50495,79702,11/22/2017,11:22:12  6 Jul 2018
Adults,7/6/2018,11/17/2017,11/21/2017,Ipsos,B+,1492,a,.0870026,0,37.3,28.3,44.41574,35.00875,"",T,http://polling.reuters.com/#poll/TM1212Y17/,50513,79727,11/28/2017,11:22:12  6 Jul 2018
